,user_ID,group_ID,runtime,container0,container1,container2
21469,86,87,56945.0,0.00195,6.23832,512.0
21470,174,175,12445.0,0.0025,5.99146,400.0
21471,86,87,821.0,0.03125,3.46574,32.0
21472,174,175,12296.0,0.0025,5.99146,400.0
21473,86,87,427.0,0.02326,3.7612,43.0
21474,46,46,40740.0,0.00311,5.77455,322.0
21475,174,175,12640.0,0.0025,5.99146,400.0
21477,174,175,12252.0,0.0025,5.99146,400.0
21478,174,175,11760.0,0.0025,5.99146,400.0
21479,86,87,24566.0,0.00195,6.23832,512.0
21480,104,105,42581.0,0.0625,2.77259,16.0
21481,86,87,3793.0,0.00065,7.33694,1536.0
21482,86,87,2548.0,0.00195,6.23832,512.0
21484,72,72,1.0,0.25,1.38629,4.0
21485,72,72,5.0,0.5,0.69315,2.0
21486,72,72,23.0,0.1,2.30259,10.0
21487,72,72,2.0,1.0,0.0,1.0
21488,72,72,10.0,1.0,0.0,1.0
21489,72,72,55.0,0.16667,1.79176,6.0
21490,72,72,31.0,1.0,0.0,1.0
21491,72,72,1.0,0.1,2.30259,10.0
21492,72,72,73.0,0.1,2.30259,10.0
21493,72,72,6.0,0.5,0.69315,2.0
21494,72,72,1.0,0.2,1.60944,5.0
21495,72,72,10.0,1.0,0.0,1.0
21496,72,72,12.0,0.1,2.30259,10.0
21497,72,72,10.0,1.0,0.0,1.0
21498,72,72,10.0,1.0,0.0,1.0
21499,72,72,180.0,0.5,0.69315,2.0
21500,72,72,10.0,1.0,0.0,1.0
21501,72,72,10.0,1.0,0.0,1.0
21502,72,72,10.0,0.5,0.69315,2.0
21503,72,72,10.0,0.5,0.69315,2.0
21504,72,72,10.0,0.5,0.69315,2.0
21505,72,72,10.0,0.5,0.69315,2.0
